Project_ID,Industry,AI_Use_Case,ROI_Percent,Performance_Score,Governance_Risk_Score,Risk_Category,Business_Priority,AI_Alert,Management_Insight
AI-0001,Manufacturing,Document Intelligence,-81.12,66.85,28.79,Low,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0002,Telecom,Recommendation,-51.54,68.05,44.02,Medium,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0003,Retail,Document Intelligence,33.28,71.09,42.29,Medium,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0004,Telecom,Document Intelligence,-93.36,61.04,71.66,High,Review,Negative ROI | High Governance Risk | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0005,Telecom,Predictive Maintenance,1.56,66.67,39.13,Medium,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0006,Healthcare,Document Intelligence,223.86,58.62,25.89,Low,Strategic,Low AI Performance | High Data Drift | Low User Adoption,Model performance optimization is recommended.
AI-0007,Retail,Customer Support,-90.29,65.8,57.11,Medium,Review,Negative ROI | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0008,Retail,Document Intelligence,-62.46,66.28,42.46,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0009,Retail,Document Intelligence,-69.52,61.26,52.38,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0010,Telecom,Document Intelligence,-62.33,69.31,48.82,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0011,Manufacturing,Fraud Detection,-31.69,61.59,49.21,Medium,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
AI-0012,Retail,Customer Support,-78.88,83.36,34.32,Low,Review,Negative ROI,Financial review required due to negative ROI.
AI-0013,Logistics,Customer Support,-48.19,78.96,53.09,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0014,Telecom,Recommendation,-48.29,48.61,37.7,Medium,Review,Negative ROI | Low AI Performance | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0015,Healthcare,Predictive Maintenance,-49.68,66.24,65.62,High,Review,Negative ROI | High Governance Risk | High Data Drift,Financial review required due to negative ROI.
AI-0016,Manufacturing,Document Intelligence,-66.24,86.42,25.94,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0017,Logistics,Demand Forecasting,-76.92,81.12,8.58,Low,Monitor,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0018,Logistics,Predictive Maintenance,518.41,69.15,19.37,Low,Strategic,High Data Drift,Data monitoring and model retraining should be considered.
AI-0019,Healthcare,Predictive Maintenance,-44.92,75.26,61.67,Medium,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0020,Manufacturing,Customer Support,-7.52,73.44,29.97,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0021,Telecom,Predictive Maintenance,59.1,75.3,38.0,Medium,Monitor,High Downtime,Project requires management monitoring.
AI-0022,Banking,Document Intelligence,6.6,81.59,47.88,Medium,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0023,Manufacturing,Document Intelligence,49.19,73.19,60.49,Medium,Review,High Downtime,Project requires management monitoring.
AI-0024,Healthcare,Fraud Detection,160.11,81.78,32.16,Low,Strategic,High Downtime,Project requires management monitoring.
AI-0025,Logistics,Document Intelligence,-18.79,73.7,22.88,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0026,Telecom,Document Intelligence,-43.87,74.27,45.43,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0027,Manufacturing,Customer Support,16.31,66.92,59.57,Medium,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0028,Banking,Document Intelligence,-87.26,71.46,35.07,Medium,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0029,Banking,Fraud Detection,-40.19,70.95,35.84,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0030,Retail,Demand Forecasting,-80.68,81.29,30.67,Low,Review,Negative ROI | High Downtime,Financial review required due to negative ROI.
AI-0031,Retail,Customer Support,-32.55,65.49,45.9,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0032,Healthcare,Demand Forecasting,18.86,79.46,51.02,Medium,Review,High Downtime,Project requires management monitoring.
AI-0033,Manufacturing,Customer Support,-71.62,81.05,43.23,Medium,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0034,Manufacturing,Recommendation,-32.43,67.72,12.7,Low,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0035,Logistics,Predictive Maintenance,80.64,62.64,58.69,Medium,Review,High Downtime | Low User Adoption,Project requires management monitoring.
AI-0036,Logistics,Recommendation,263.0,68.74,48.73,Medium,Monitor,High Data Drift,Data monitoring and model retraining should be considered.
AI-0037,Logistics,Document Intelligence,-31.29,82.48,16.4,Low,Monitor,Negative ROI,Financial review required due to negative ROI.
AI-0038,Retail,Demand Forecasting,-57.96,68.3,40.0,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0039,Manufacturing,Document Intelligence,-79.0,75.83,38.23,Medium,Review,Negative ROI,Financial review required due to negative ROI.
AI-0040,Manufacturing,Predictive Maintenance,-93.18,69.65,33.28,Low,Review,Negative ROI,Financial review required due to negative ROI.
