Project_ID,Industry,AI_Use_Case,Model_Type,Monthly_Cost,Annual_Benefit,Accuracy,Latency_ms,Data_Drift,Compliance_Risk,Model_Downtime,User_Adoption,Annual_Cost,ROI_Percent,Governance_Risk_Score,Performance_Score,Risk_Category,ROI_Category,Business_Priority_Score,Business_Priority,AI_Alert,Management_Insight
AI-0001,Manufacturing,Document Intelligence,NLP,72843,165051,0.704,81.01,0.118,0.126,11.75,0.499,874116,-81.12,28.79,66.85,Low,Negative ROI,44.76,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0002,Telecom,Recommendation,Computer Vision,44901,261131,0.738,110.86,0.078,0.414,13.83,0.419,538812,-51.54,44.02,68.05,Medium,Negative ROI,40.61,Review,Negative ROI | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0003,Retail,Document Intelligence,Recommendation,16205,259173,0.856,240.48,0.104,0.762,2.93,0.535,194460,33.28,42.29,71.09,Medium,Low ROI,48.02,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0004,Telecom,Document Intelligence,Recommendation,60661,48328,0.797,381.02,0.238,0.9,14.41,0.726,727932,-93.36,71.66,61.04,High,Negative ROI,29.87,Review,Negative ROI | High Governance Risk | High Data Drift | High Downtime,Financial review required due to negative ROI.
AI-0005,Telecom,Predictive Maintenance,Recommendation,10906,132911,0.913,454.66,0.188,0.665,2.14,0.703,130872,1.56,39.13,66.67,Medium,Low ROI,41.87,Review,Healthy,AI project is performing within acceptable business and governance limits.
AI-0006,Healthcare,Document Intelligence,NLP,7591,295011,0.94,420.98,0.281,0.105,7.64,0.415,91092,223.86,25.89,58.62,Low,High ROI,77.75,Strategic,Low AI Performance | High Data Drift | Low User Adoption,Model performance optimization is recommended.
AI-0007,Retail,Customer Support,Computer Vision,67987,79234,0.834,114.51,0.204,0.672,12.45,0.387,815844,-90.29,57.11,65.8,Medium,Negative ROI,35.9,Review,Negative ROI | High Data Drift | High Downtime | Low User Adoption,Financial review required due to negative ROI.
AI-0008,Retail,Document Intelligence,Regression,68370,307995,0.908,231.75,0.171,0.635,5.25,0.319,820440,-62.46,42.46,66.28,Medium,Negative ROI,40.46,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0009,Retail,Document Intelligence,Regression,85685,313423,0.754,115.72,0.183,0.806,6.37,0.309,1028220,-69.52,52.38,61.26,Medium,Negative ROI,35.73,Review,Negative ROI | Low User Adoption,Financial review required due to negative ROI.
AI-0010,Telecom,Document Intelligence,NLP,59400,268503,0.791,146.95,0.283,0.825,1.92,0.916,712800,-62.33,48.82,69.31,Medium,Negative ROI,39.61,Review,Negative ROI | High Data Drift,Financial review required due to negative ROI.
AI-0011,Manufacturing,Fraud Detection,Recommendation,30150,247135,0.892,261.7,0.236,0.868,1.84,0.332,361800,-31.69,49.21,61.59,Medium,Negative ROI,36.79,Review,Negative ROI | High Data Drift | Low User Adoption,Financial review required due to negative ROI.
